13:10:50.366 -> Forming a connection to e3:27:98:fc:95:ca
13:10:50.366 ->  - Created client
13:10:53.342 ->  - Connected to server
13:10:54.000 ->  - Found our service
13:10:54.000 ->  - Found our characteristic
13:10:54.000 -> We are now connected to the BLE Server.
13:10:54.140 -> e32798fc95ca.txt exists.
13:10:54.140 -> GIVEN SN: E0001
13:10:54.279 -> GROUND SIGNALS ON ALL INPUTS
13:10:54.513 -> V1: -0.02519 V2: -0.01300 T1: 0.35200 T2: 0.37000
13:10:54.559 -> V1: -0.02519 V2: -0.01300 T1: 0.38800 T2: 0.40600
13:10:54.559 -> V1: -0.02519 V2: -0.01300 T1: 0.42500 T2: 0.44300
13:10:54.605 -> V1: -0.02519 V2: -0.01300 T1: 0.46100 T2: 0.47900
13:10:54.652 -> V1: -0.02519 V2: -0.01300 T1: 0.49700 T2: 0.51500
13:10:54.652 -> V1: -0.02519 V2: -0.01300 T1: 0.53400 T2: 0.55200
13:10:54.698 -> V1: -0.02519 V2: -0.01300 T1: 0.57000 T2: 0.58800
13:10:54.744 -> V1: -0.02519 V2: -0.01300 T1: 0.60600 T2: 0.62400
13:10:54.791 -> V1: -0.02519 V2: -0.01219 T1: 0.64200 T2: 0.66000
13:10:54.838 -> V1: -0.02519 V2: -0.01300 T1: 0.67800 T2: 0.69600
13:10:54.838 -> V1: -0.02519 V2: -0.01300 T1: 0.71400 T2: 0.73300
13:10:54.883 -> V1: -0.02519 V2: -0.01300 T1: 0.75100 T2: 0.76900
13:10:54.929 -> V1: -0.02519 V2: -0.01300 T1: 0.78700 T2: 0.80500
13:10:54.975 -> V1: -0.02519 V2: -0.01300 T1: 0.82300 T2: 0.84200
13:10:55.021 -> V1: -0.02519 V2: -0.01300 T1: 0.86000 T2: 0.87800
13:10:55.069 -> V1: -0.02519 V2: -0.01300 T1: 0.89600 T2: 0.91400
13:10:55.069 -> V1: -0.02519 V2: -0.01300 T1: 0.93300 T2: 0.95100
13:10:55.115 -> V1: -0.02519 V2: -0.01300 T1: 0.96900 T2: 0.98800
13:10:55.161 -> V1: -0.02519 V2: -0.01300 T1: 1.00600 T2: 1.02400
13:10:55.161 -> V1: -0.02519 V2: -0.01219 T1: 1.04200 T2: 1.06000
13:10:55.207 -> V1: -0.02519 V2: -0.01300 T1: 1.07800 T2: 1.09700
13:10:55.254 -> V1: -0.02519 V2: -0.01300 T1: 1.11500 T2: 1.13300
13:10:55.302 -> V1: -0.02519 V2: -0.01300 T1: 1.15100 T2: 1.17000
13:10:55.348 -> V1: -0.02519 V2: -0.01300 T1: 1.18800 T2: 1.20600
13:10:55.348 -> V1: -0.02519 V2: -0.01300 T1: 1.22400 T2: 1.24200
13:10:55.395 -> V1: -0.02519 V2: -0.01300 T1: 1.26100 T2: 1.27900
13:10:55.442 -> V1: -0.02519 V2: -0.01300 T1: 1.29700 T2: 1.31600
13:10:55.489 -> V1: -0.02519 V2: -0.01300 T1: 1.33400 T2: 1.35200
13:10:55.535 -> V1: -0.02519 V2: -0.01300 T1: 1.37100 T2: 1.38900
13:10:55.581 -> V1: -0.02519 V2: -0.01300 T1: 1.40700 T2: 1.42600
13:10:55.581 -> V1: -0.02519 V2: -0.01300 T1: 1.44400 T2: 1.46100
13:10:55.628 -> V1: -0.02519 V2: -0.01300 T1: 1.47900 T2: 1.49700
13:10:55.675 -> V1: -0.02519 V2: -0.01300 T1: 1.51600 T2: 1.53400
13:10:55.675 -> V1: -0.02519 V2: -0.01300 T1: 1.55200 T2: 1.57000
13:10:55.722 -> V1: -0.02519 V2: -0.01300 T1: 1.58800 T2: 1.60600
13:10:55.769 -> V1: -0.02519 V2: -0.01300 T1: 1.62500 T2: 1.64300
13:10:55.815 -> V1: -0.02519 V2: -0.01219 T1: 1.66100 T2: 1.67900
13:10:55.862 -> V1: -0.02519 V2: -0.01300 T1: 1.69800 T2: 1.71600
13:10:55.862 -> V1: -0.02519 V2: -0.01300 T1: 1.73400 T2: 1.75200
13:10:55.908 -> V1: -0.02519 V2: -0.01300 T1: 1.77100 T2: 1.78900
13:10:55.954 -> V1: -0.02519 V2: -0.01300 T1: 1.80700 T2: 1.82600
13:10:56.001 -> V1: -0.02519 V2: -0.01300 T1: 1.84400 T2: 1.86200
13:10:56.001 -> V1: -0.02519 V2: -0.01300 T1: 1.88100 T2: 1.89900
13:10:56.048 -> V1: -0.02519 V2: -0.01300 T1: 1.91700 T2: 1.93500
13:10:56.095 -> V1: -0.02519 V2: -0.01300 T1: 1.95300 T2: 1.97200
13:10:56.142 -> V1: -0.02519 V2: -0.01300 T1: 1.99000 T2: 2.00800
13:10:56.189 -> V1: -0.02519 V2: -0.01300 T1: 2.02600 T2: 2.04400
13:10:56.189 -> V1: -0.02519 V2: -0.01219 T1: 2.06300 T2: 2.08100
13:10:56.236 -> V1: -0.02519 V2: -0.01300 T1: 2.09900 T2: 2.11700
13:10:56.284 -> V1: -0.02519 V2: -0.01300 T1: 2.13500 T2: 2.15300
13:10:56.330 -> V1: -0.02519 V2: -0.01300 T1: 2.17100 T2: 2.18900
13:10:56.374 -> V1: -0.02519 V2: -0.01300 T1: 2.20700 T2: 2.22500
13:10:56.374 -> V1: -0.02519 V2: -0.01219 T1: 2.24400 T2: 2.26200
13:10:56.422 -> V1: -0.02519 V2: -0.01219 T1: 2.28000 T2: 2.29800
13:10:56.469 -> V1: -0.02600 V2: -0.01300 T1: 2.31700 T2: 2.33500
